,Ticker,Name,MarketCap,IPOyear,Industry,IPOdate,Open,Close,Adj Close,1yr,3yr,5yr
0,ACMR,"ACM Research, Inc.","$8,916 ",2017,Industrial Machinery/Components,10/25/17,10.23,10.11,10.11,10/25/18,10/26/20,10/25/22
1,ALTR,Altair Engineering Inc.,"$139,644 ",2017,Computer Software: Prepackaged Software,10/25/17,13.23,13.23,13.23,10/25/18,10/26/20,10/25/22
2,AYX,"Alteryx, Inc.","$158,743 ",2017,Computer Software: Prepackaged Software,3/23/17,17.25,15.5,15.5,3/23/18,3/23/20,3/23/22
3,APPN,Appian Corporation,"$125,190 ",2017,Computer Software: Prepackaged Software,5/24/17,15.05,15.01,15.01,5/24/18,5/25/20,5/24/22
4,AQ,Aquantia Corp.,"$36,264 ",2017,Semiconductors,10/25/17,44.849998,46,46,10/25/18,10/26/20,10/25/22
5,BAND,Bandwidth Inc.,"$37,939 ",2017,Computer Software: Prepackaged Software,10/25/17,5.39,5.39,5.39,10/25/18,10/26/20,10/25/22
6,BKI,"Black Knight, Inc.","$691,382 ",2017,Computer Software: Prepackaged Software,1/2/17,0.035,0.035,0.035,1/2/18,1/2/20,1/3/22
7,CARG,"CarGurus, Inc.","$327,396 ",2017,EDP Services,10/11/17,29,27.58,27.58,10/11/18,10/12/20,10/11/22
8,CARS,Cars.com Inc.,"$191,670 ",2017,EDP Services,5/31/17,25.59,25.59,25.59,5/31/18,6/1/20,5/31/22
9,CISN,Cision Ltd.,"$143,483 ",2017,Computer Software: Prepackaged Software,6/29/17,10.05,10.29,10.29,6/29/18,6/29/20,6/29/22
10,CLDR,"Cloudera, Inc.","$210,370 ",2017,Computer Software: Prepackaged Software,4/27/17,17.799999,18.1,18.1,4/27/18,4/27/20,4/27/22
11,AQUA,Evoqua Water Technologies Corp.,"$257,717 ",2017,Industrial Machinery/Components,10/25/17,25.59,25.58,25.58,10/25/18,10/26/20,10/25/22
12,FSCT,"ForeScout Technologies, Inc.","$85,021 ",2017,Computer peripheral equipment,10/25/17,25.099001,25.08,25.08,10/25/18,10/26/20,10/25/22
13,GDI,"Gardner Denver Holdings, Inc.","$630,763 ",2017,Industrial Machinery/Components,5/11/17,21.25,21.1,21.1,5/11/18,5/11/20,5/11/22
14,JT,Jianpu Technology Inc.,"$92,967 ",2017,"Computer Software: Programming, Data Processing",10/25/17,13.82,14.02,14.02,10/25/18,10/26/20,10/25/22
15,MFGP,Micro Focus Intl PLC,"$1,417,779 ",2017,Computer Software: Prepackaged Software,8/6/17,10.42,10.42,10.42,8/6/18,8/6/20,8/8/22
16,MDB,"MongoDB, Inc.","$130,354 ",2017,Computer Software: Prepackaged Software,10/18/17,33,32.07,32.07,10/18/18,10/19/20,10/18/22
17,MULE,"MuleSoft, Inc.","$278,119 ",2017,Computer Software: Prepackaged Software,3/16/17,24.25,24.75,24.75,3/16/18,3/16/20,3/16/22
18,OKTA,"Okta, Inc.","$278,815 ",2017,Computer Software: Prepackaged Software,4/6/17,23.75,23.51,23.51,4/6/18,4/6/20,4/6/22
19,PSDO,"Presidio, Inc.","$144,144 ",2017,Retail: Computer Software & Peripheral Equipment,3/9/17,13.5,14.25,14.25,3/9/18,3/9/20,3/9/22
20,SAIL,"SailPoint Technologies Holdings, Inc.","$135,432 ",2017,Computer Software: Prepackaged Software,10/25/17,24.950001,25.035999,25.035999,10/25/18,10/26/20,10/25/22
21,SEND,"SendGrid, Inc.","$79,177 ",2017,Computer Software: Prepackaged Software,10/25/17,13.61,13.61,13.61,10/25/18,10/26/20,10/25/22
22,PIXY,"ShiftPixy, Inc.","$6,051 ",2017,Diversified Commercial Services,6/29/17,6.4,7.7,7.7,6/29/18,6/29/20,6/29/22
23,SSTI,"ShotSpotter, Inc.","$14,412 ",2017,Computer Software: Prepackaged Software,6/6/17,12.2,14.38,14.38,6/6/18,6/8/20,6/6/22
24,SGH,"SMART Global Holdings, Inc.","$63,761 ",2017,Semiconductors,5/23/17,12,13.45,13.45,5/23/18,5/25/20,5/23/22
25,SNAP,Snap Inc.,"$1,770,264 ",2017,"Computer Software: Programming, Data Processing",3/1/17,24,24.48,24.48,3/1/18,3/2/20,3/1/22
26,SOGO,Sogou Inc.,"$455,341 ",2017,EDP Services,10/25/17,11.1,11.06,11.06,10/25/18,10/26/20,10/25/22
27,SWCH,"Switch, Inc.","$429,261 ",2017,"Computer Software: Programming, Data Processing",10/5/17,21.700001,20.84,20.84,10/5/18,10/5/20,10/5/22
28,TNTR,"Tintri, Inc.","$17,354 ",2017,EDP Services,6/29/17,7.12,7.27,7.27,6/29/18,6/29/20,6/29/22
29,VERI,"Veritone, Inc.","$34,728 ",2017,EDP Services,5/11/17,15.64,13.07,13.07,5/11/18,5/11/20,5/11/22
30,YEXT,"Yext, Inc.","$116,137 ",2017,EDP Services,4/12/17,14,13.41,13.41,4/12/18,4/13/20,4/12/22
31,ACIA,"Acacia Communications, Inc.","$158,533 ",2016,Semiconductors,5/12/16,29,30.950001,30.950001,5/12/17,5/13/19,5/12/21
32,AIRG,"Airgain, Inc.","$8,994 ",2016,Radio And Television Broadcasting And Communications Equipment,8/21/16,10.2,10.3,10.3,8/21/17,8/21/19,8/23/21
33,APTI,"Apptio, Inc.","$92,772 ",2016,Computer Software: Prepackaged Software,9/22/16,23.4,22.549999,22.549999,9/22/17,9/23/19,9/22/21
34,ATOM,Atomera Incorporated,"$5,278 ",2016,Semiconductors,8/7/16,8,8,8,8/7/17,8/7/19,8/9/21
35,BL,"BlackLine, Inc.","$181,577 ",2016,Computer Software: Prepackaged Software,10/27/16,24.52,23.700001,23.700001,10/27/17,10/28/19,10/27/21
36,COUP,Coupa Software Incorporated,"$176,090 ",2016,Computer Software: Prepackaged Software,10/5/16,35,33.279999,33.279999,10/5/17,10/7/19,10/5/21
37,EVBG,"Everbridge, Inc.","$75,440 ",2016,Computer Software: Prepackaged Software,9/15/16,12.3,15.25,15.25,9/15/17,9/16/19,9/15/21
38,MRAM,"Everspin Technologies, Inc.","$9,486 ",2016,Semiconductors,10/6/16,9.1,8.02,8.02,10/6/17,10/7/19,10/6/21
39,ICHR,Ichor Holdings,"$64,535 ",2016,Semiconductors,12/8/16,10.25,9.77,9.77,12/8/17,12/9/19,12/8/21
40,LN,LINE Corporation,"$964,978 ",2016,"Computer Software: Programming, Data Processing",1/3/16,0.03,0.03,0.03,1/3/17,1/3/19,1/4/21
41,MSDI,"Monster Digital, Inc.",$581 ,2016,Electronic Components,7/10/16,3.75,3.17,3.17,7/10/17,7/10/19,7/12/21
43,NH,"NantHealth, Inc.","$32,716 ",2016,EDP Services,1/5/16,291,336.950012,336.950012,1/5/17,1/7/19,1/5/21
44,NTNX,"Nutanix, Inc.","$555,592 ",2016,Computer Software: Prepackaged Software,9/29/16,26.5,37,37,9/29/17,9/30/19,9/29/21
45,QTNA,"Quantenna Communications, Inc.","$41,420 ",2016,Semiconductors,10/27/16,16.889999,15.5,15.5,10/27/17,10/28/19,10/27/21
46,SCWX,SecureWorks Corp.,"$67,049 ",2016,Computer Software: Prepackaged Software,4/20/16,14,14,14,4/20/17,4/22/19,4/20/21
47,TTD,"The Trade Desk, Inc.","$186,232 ",2016,"Computer Software: Programming, Data Processing",9/20/16,28.75,30.1,30.1,9/20/17,9/20/19,9/20/21
48,TRTN,Triton International Limited,"$304,435 ",2016,Diversified Commercial Services,1/3/16,15.62,15.35,12.435602,1/3/17,1/3/19,1/4/21
49,TWLO,Twilio Inc.,"$230,714 ",2016,Computer Software: Prepackaged Software,1/3/16,null,null,0,1/3/17,1/3/19,1/4/21
50,WBT,"Welbilt, Inc.","$310,266 ",2016,Industrial Machinery/Components,2/17/16,11.5,12.7,12.7,2/17/17,2/18/19,2/17/21
51,ZDGE,"Zedge, Inc.","$2,791 ",2016,Computer Software: Prepackaged Software,6/2/16,4.8,4.3,4.3,6/2/17,6/3/19,6/2/21
52,IOTS,Adesto Technologies Corporation,"$15,749 ",2015,Semiconductors,10/26/15,5.6,5.9,5.9,10/26/16,10/26/18,10/26/20
53,ALRM,"Alarm.com Holdings, Inc.","$177,955 ",2015,Computer Software: Prepackaged Software,6/25/15,16.049999,16.879999,16.879999,6/27/16,6/25/18,6/25/20
54,APPF,"AppFolio, Inc.","$140,371 ",2015,Computer Software: Prepackaged Software,6/25/15,12.22,14.08,14.08,6/27/16,6/25/18,6/25/20
55,TEAM,Atlassian Corporation Plc,"$1,047,434 ",2015,Computer Software: Prepackaged Software,12/8/15,21,21,21,12/8/16,12/10/18,12/8/20
56,BOX,"Box, Inc.","$287,996 ",2015,Computer Software: Prepackaged Software,1/22/15,20.200001,23.23,23.23,1/22/16,1/22/18,1/22/20
57,CSRA,CSRA Inc.,"$480,530 ",2015,EDP Services,11/15/15,30.5,31.9,31.016037,11/15/16,11/15/18,11/16/20
58,EXTN,Exterran Corporation,"$107,579 ",2015,Diversified Commercial Services,10/26/15,19.02,18,18,10/26/16,10/26/18,10/26/20
59,FIT,"Fitbit, Inc.","$160,537 ",2015,Computer Manufacturing,6/16/15,20,20,20,6/16/16,6/18/18,6/16/20
60,GDDY,GoDaddy Inc.,"$802,811 ",2015,EDP Services,3/30/15,20,20,20,3/30/16,3/30/18,3/30/20
61,HPE,Hewlett Packard Enterprise Company,"$2,268,090 ",2015,Computer Manufacturing,10/18/15,10.752331,9.618977,9.285635,10/18/16,10/18/18,10/19/20
62,INOV,"Inovalon Holdings, Inc.","$223,915 ",2015,EDP Services,2/11/15,33.16,27,27,2/11/16,2/12/18,2/11/20
63,INST,"Instructure, Inc.","$102,495 ",2015,Computer Software: Prepackaged Software,11/12/15,16,18,18,11/14/16,11/12/18,11/12/20
64,MJCO,Majesco,"$20,351 ",2015,Computer Software: Prepackaged Software,6/28/15,4.44,4.92,4.92,6/28/16,6/28/18,6/29/20
65,MTCH,"Match Group, Inc.","$815,347 ",2015,"Computer Software: Programming, Data Processing",11/18/15,13.5,14.74,14.74,11/18/16,11/19/18,11/18/20
66,MCRN,Milacron Holdings Corp.,"$124,255 ",2015,Industrial Machinery/Components,6/24/15,19.5,19.58,19.58,6/24/16,6/25/18,6/24/20
67,MIME,Mimecast Limited,"$163,417 ",2015,Computer Software: Prepackaged Software,11/18/15,11,10.1,10.1,11/18/16,11/19/18,11/18/20
