Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2017-10-26,10.230000,10.230000,10.093000,10.110000,10.110000,5800,ACMR
2017-10-27,null,null,null,null,null,null,ACMR
2017-10-30,null,null,null,null,null,null,ACMR
2017-10-31,null,null,null,null,null,null,ACMR
2017-11-01,null,null,null,null,null,null,ACMR
2017-11-02,null,null,null,null,null,null,ACMR
2017-11-03,8.170000,8.484000,5.870000,6.050000,6.050000,523500,ACMR
2017-11-06,6.010000,6.460000,5.600000,5.600000,5.600000,70600,ACMR
2017-11-07,5.600000,5.730000,5.600000,5.600000,5.600000,32600,ACMR
2017-11-08,5.600000,5.650000,5.600000,5.600000,5.600000,118500,ACMR
2017-11-09,5.600000,5.630000,5.600000,5.601000,5.601000,34700,ACMR
2017-11-10,5.650000,5.760000,5.610000,5.720000,5.720000,9800,ACMR
2017-11-13,5.760000,6.189000,5.720000,5.970000,5.970000,21800,ACMR
2017-11-14,6.150000,6.350000,5.650000,5.970000,5.970000,60400,ACMR
2017-11-15,5.910000,6.240000,5.790000,6.240000,6.240000,36800,ACMR
2017-11-16,6.200000,6.590000,6.200000,6.520000,6.520000,33600,ACMR
2017-11-17,6.700000,6.890000,6.590000,6.890000,6.890000,31400,ACMR
2017-11-20,7.000000,7.840000,6.980000,7.340000,7.340000,56100,ACMR
2017-11-21,7.650000,7.650000,7.360000,7.420000,7.420000,40100,ACMR
2017-11-22,7.500000,7.503000,6.900000,6.950000,6.950000,23200,ACMR
2017-11-24,6.850000,7.210000,6.850000,6.870000,6.870000,25500,ACMR
2017-11-27,6.870000,7.200000,6.829000,6.900000,6.900000,23800,ACMR
2017-11-28,6.870000,6.881000,6.708000,6.800000,6.800000,6300,ACMR
2017-11-29,6.820000,7.050000,6.540000,6.780000,6.780000,25500,ACMR
2017-11-30,6.670000,6.900000,6.640000,6.750000,6.750000,2900,ACMR
2017-12-01,6.400000,6.900000,6.400000,6.790000,6.790000,13700,ACMR
2017-12-04,6.790000,6.790000,6.400000,6.460000,6.460000,22800,ACMR
2017-12-05,6.410000,6.410000,5.880000,5.980000,5.980000,21800,ACMR
2017-12-06,6.000000,6.110000,5.800000,5.890000,5.890000,18000,ACMR
2017-12-07,5.910000,6.260000,5.810000,5.900000,5.900000,7100,ACMR
2017-12-08,5.920000,6.240000,5.920000,6.050000,6.050000,2500,ACMR
2017-12-11,5.980000,6.200000,5.950000,5.960000,5.960000,18800,ACMR
2017-12-12,6.100000,6.110000,5.690000,5.840000,5.840000,19600,ACMR
,ACMR
Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2017-10-26,13.230000,13.230000,13.230000,13.230000,13.230000,0,ALTR
2017-10-27,null,null,null,null,null,null,ALTR
2017-10-30,null,null,null,null,null,null,ALTR
2017-10-31,null,null,null,null,null,null,ALTR
2017-11-01,17.100000,18.980000,16.549999,18.309999,18.309999,7533500,ALTR
2017-11-02,18.049999,18.200001,17.330000,17.410000,17.410000,952100,ALTR
2017-11-03,17.500000,19.400000,17.500000,19.370001,19.370001,842700,ALTR
2017-11-06,19.059999,19.600000,18.101000,18.969999,18.969999,427400,ALTR
2017-11-07,18.990000,19.945000,18.850000,19.510000,19.510000,1008700,ALTR
2017-11-08,19.549999,20.379999,18.620001,20.360001,20.360001,558300,ALTR
2017-11-09,20.120001,20.620001,20.000000,20.400000,20.400000,282500,ALTR
2017-11-10,20.400000,20.850000,20.230000,20.760000,20.760000,132300,ALTR
2017-11-13,20.620001,21.780001,20.500999,21.719999,21.719999,223000,ALTR
2017-11-14,21.540001,22.980000,21.520000,22.360001,22.360001,318900,ALTR
2017-11-15,22.530001,23.549999,22.030001,23.490000,23.490000,638200,ALTR
2017-11-16,23.900000,23.999001,23.400000,23.940001,23.940001,328100,ALTR
2017-11-17,23.940001,24.330000,23.750999,24.160000,24.160000,329600,ALTR
2017-11-20,24.280001,24.950001,24.090000,24.760000,24.760000,308000,ALTR
2017-11-21,24.889999,25.590000,24.280001,24.500000,24.500000,376700,ALTR
2017-11-22,24.010000,24.299999,23.680000,23.940001,23.940001,296500,ALTR
2017-11-24,23.860001,24.930000,23.860001,24.900000,24.900000,76200,ALTR
2017-11-27,24.500000,25.090000,22.590000,22.650000,22.650000,353100,ALTR
2017-11-28,23.379999,23.986000,22.870001,23.870001,23.870001,275400,ALTR
2017-11-29,23.990000,24.340000,21.351999,22.139999,22.139999,396800,ALTR
2017-11-30,22.180000,23.150000,21.844999,22.389999,22.389999,303000,ALTR
2017-12-01,21.379999,24.629999,21.379999,23.459999,23.459999,533600,ALTR
2017-12-04,23.480000,23.944000,21.600000,21.900000,21.900000,327800,ALTR
2017-12-05,21.680000,22.940001,21.200001,21.559999,21.559999,435700,ALTR
2017-12-06,21.209999,21.700001,20.500999,21.020000,21.020000,236200,ALTR
