Date,Open,High,Low,Close,Adj Close,Volume,MSFT
2000-01-03,58.687500,59.312500,56.000000,58.281250,38.708794,53228400,MSFT
2000-01-04,56.781250,58.562500,56.125000,56.312500,37.401215,54119000,MSFT
2000-01-05,55.562500,58.187500,54.687500,56.906250,37.795563,64059600,MSFT
2000-01-06,56.093750,56.937500,54.187500,55.000000,36.529484,54976600,MSFT
2000-01-07,54.312500,56.125000,53.656250,55.718750,37.006855,62013600,MSFT
2000-01-10,56.718750,56.843750,55.687500,56.125000,37.276661,44963600,MSFT
2000-01-11,55.750000,57.125000,54.343750,54.687500,36.321934,46743600,MSFT
2000-01-12,54.250000,54.437500,52.218750,52.906250,35.138874,66532400,MSFT
2000-01-13,52.187500,54.312500,50.750000,53.906250,35.803043,83144000,MSFT
2000-01-14,53.593750,56.968750,52.875000,56.125000,37.276661,73416400,MSFT
2000-01-18,55.906250,58.250000,55.875000,57.656250,38.293682,81483600,MSFT
2000-01-19,55.250000,55.750000,53.000000,53.500000,35.533215,97568200,MSFT
2000-01-20,53.531250,54.843750,52.937500,53.000000,35.201126,56349800,MSFT
2000-01-21,53.500000,53.625000,51.625000,51.875000,34.453938,68416200,MSFT
2000-01-24,51.898399,52.843750,50.406250,50.625000,33.623737,63597600,MSFT
2000-01-25,50.500000,51.937500,49.781250,51.406250,34.142609,59823200,MSFT
2000-01-26,51.218750,51.750000,49.562500,49.687500,33.001049,49365000,MSFT
2000-01-27,49.945301,50.593750,48.625000,49.375000,32.793507,63654800,MSFT
2000-01-28,49.062500,50.125000,48.625000,49.125000,32.627457,58225400,MSFT
2000-01-31,48.812500,49.093750,47.437500,48.937500,32.502930,73194200,MSFT
2000-02-01,49.250000,51.625000,48.843750,51.468750,34.184120,70196600,MSFT
2000-02-02,51.218750,51.968750,50.250000,50.406250,33.478443,49915600,MSFT
2000-02-03,51.031250,52.093750,50.062500,51.812500,34.412422,49186000,MSFT
2000-02-04,52.187500,54.000000,52.070301,53.281250,35.387936,55365400,MSFT
2000-02-07,53.406250,53.437500,52.125000,53.312500,35.408699,40005800,MSFT
2000-02-08,53.218750,55.000000,53.218750,54.968750,36.508713,56229000,MSFT
2000-02-09,54.718750,54.718750,51.937500,52.000000,34.536964,55090000,MSFT
2000-02-10,51.945301,53.281250,51.250000,53.000000,35.201126,54527800,MSFT
2000-02-11,52.437500,52.437500,49.562500,49.968750,33.187855,115559000,MSFT
2000-02-14,50.617149,50.875000,49.531250,49.812500,33.084076,81028600,MSFT
2000-02-15,49.875000,50.000000,49.062500,49.281250,32.731236,71027600,MSFT
2000-02-16,49.625000,50.093750,48.562500,48.812500,32.419926,65202600,MSFT
2000-02-17,49.250000,49.843750,48.570301,49.812500,33.084076,80343400,MSFT
2000-02-18,50.000000,50.031250,47.437500,47.531250,31.568935,79063000,MSFT
2000-02-22,47.562500,48.562500,46.406250,46.906250,31.153830,66296200,MSFT
2000-02-23,46.750000,47.875000,46.031250,47.125000,31.299120,75847200,MSFT
2000-02-24,47.125000,47.937500,46.000000,47.375000,31.465168,69733200,MSFT
2000-02-25,47.343750,47.351551,45.250000,45.656250,30.323620,65301400,MSFT
2000-02-28,45.125000,46.062500,44.062500,45.781250,30.406645,76131800,MSFT
2000-02-29,45.875000,45.875000,44.437500,44.687500,29.680204,58437400,MSFT
2000-03-01,44.812500,47.046848,44.468750,45.406250,30.157579,106889800,MSFT
2000-03-02,45.906250,47.687500,45.562500,46.687500,31.008553,106932600,MSFT
2000-03-03,47.375000,49.437500,46.937500,48.062500,31.921782,101435200,MSFT
2000-03-06,48.000000,48.687500,45.062500,45.312500,30.095320,93609400,MSFT
2000-03-07,48.062500,48.750000,45.968750,46.437500,30.842510,135061000,MSFT
2000-03-08,46.906250,48.093750,45.500000,47.781250,31.734983,94290000,MSFT
2000-03-09,47.656250,50.000000,47.500000,50.000000,33.208622,88198800,MSFT
2000-03-10,49.781250,51.250000,49.750000,50.500000,33.540710,85589000,MSFT
2000-03-13,48.812500,50.125000,48.750000,49.000000,32.544441,61831800,MSFT
2000-03-14,49.312500,49.625000,47.562500,47.562500,31.589697,73489200,MSFT
2000-03-15,47.281250,48.312500,46.843750,47.687500,31.672722,53208000,MSFT
2000-03-16,47.968750,48.343750,46.625000,47.687500,31.672722,77300800,MSFT
