Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-05-12,46.060001,47.810001,44.980000,47.709999,47.709999,1008100,ACIA,1yr
,ACIA,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-08-11,10.030000,10.200000,9.360000,9.630000,9.630000,212300,AIRG,1yr
,AIRG,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-09-22,17.620001,17.709999,17.360001,17.420000,17.420000,177500,APTI,1yr
,APTI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-08-07,4.918000,5.090000,4.780000,5.090000,5.090000,2200,ATOM,1yr
,ATOM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-27,34.669998,35.380001,34.450001,35.259998,35.259998,163500,BL,1yr
,BL,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-05,31.900000,32.520000,31.815001,32.419998,32.419998,900300,COUP,1yr
,COUP,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-09-15,23.350000,23.530001,23.160000,23.500000,23.500000,419600,EVBG,1yr
,EVBG,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-10-06,15.160000,15.200000,13.090000,13.370000,13.370000,529900,MRAM,1yr
,MRAM,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-12-08,25.740000,25.959999,24.530001,24.600000,24.600000,1715500,ICHR,1yr
,ICHR,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-01-03,34.160000,34.235001,33.470001,33.860001,33.860001,383700,LN,1yr
,LN,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-07-10,1.230000,1.470000,1.020000,1.039000,1.039000,2117900,MSDI,1yr
,MSDI,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
2017-01-05,10.490000,10.490000,9.950000,10.270000,10.270000,79400,NH,1yr
,NH,1yr
Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Period
