Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
ACMR,"ACM Research, Inc.",5.9,89162475.6,n/a,2017,Technology,Industrial Machinery/Components
ALTR,Altair Engineering Inc.,22.2,1396439318,n/a,2017,Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,9.66,1099909393,n/a,n/a,Technology,Computer Software: Prepackaged Software
AYX,"Alteryx, Inc.",26.83,1587430005,n/a,2017,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,20.76,1251896010,n/a,2017,Technology,Computer Software: Prepackaged Software
AQ,Aquantia Corp.,11.22,362642517.6,n/a,2017,Technology,Semiconductors
AAN,"Aaron&#39;s,  Inc.",38.43,2789184107,n/a,n/a,Technology,Diversified Commercial Services
BAND,Bandwidth Inc.,21.53,379387019.6,n/a,2017,Technology,Computer Software: Prepackaged Software
ACIW,"ACI Worldwide, Inc.",22.48,2665660956,n/a,n/a,Technology,Computer Software: Prepackaged Software
BKI,"Black Knight, Inc.",45.05,6913822509,n/a,2017,Technology,Computer Software: Prepackaged Software
ATVI,"Activision Blizzard, Inc",61.57,46553043444,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,15.55,508832542.5,n/a,n/a,Technology,EDP Services
ATU,Actuant Corporation,25.7,1537381916,n/a,n/a,Technology,Industrial Machinery/Components
ACXM,Acxiom Corporation,27.33,2164961665,n/a,n/a,Technology,EDP Services
CARG,"CarGurus, Inc.",30.86,3273961162,n/a,2017,Technology,EDP Services
CARS,Cars.com Inc.,26.76,1916701324,n/a,2017,Technology,EDP Services
AMD,"Advanced Micro Devices, Inc.",10.04,9686577974,n/a,n/a,Technology,Semiconductors
ASX,"Advanced Semiconductor Engineering, Inc.",6.37,10776430123,n/a,n/a,Technology,Semiconductors
CISN,Cision Ltd.,11.7,1434828587,n/a,2017,Technology,Computer Software: Prepackaged Software
ACY,AeroCentury Corp.,14.5,20542135.5,n/a,n/a,Technology,Diversified Commercial Services
CLDR,"Cloudera, Inc.",16,2103698288,n/a,2017,Technology,Computer Software: Prepackaged Software
AGYS,"Agilysys, Inc.",12.48,289566900.5,n/a,n/a,Technology,EDP Services
AQUA,Evoqua Water Technologies Corp.,22.75,2577171347,n/a,2017,Technology,Industrial Machinery/Components
FSCT,"ForeScout Technologies, Inc.",22.97,850207123.8,n/a,2017,Technology,Computer peripheral equipment
GDI,"Gardner Denver Holdings, Inc.",32.18,6307629507,n/a,2017,Technology,Industrial Machinery/Components
JT,Jianpu Technology Inc.,5.61,929669789.4,n/a,2017,Technology,"Computer Software: Programming, Data Processing"
